Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/practice/,6724,4898,00:00:26,553,16.24%,6.72%,$7.45
/practice/P81010/,116,92,00:02:57,92,78.26%,75.86%,$0.43
/practice/Y00164/,48,23,00:02:46,13,30.77%,25.00%,$6.09
/practice/G84021/,46,42,00:01:42,42,92.86%,91.30%,$0.24
/practice/C85004/,43,37,00:03:13,29,96.55%,74.42%,$2.43
/practice/G82099/,43,21,00:02:13,8,0.00%,20.93%,$5.71
/practice/C83022/,42,25,00:04:19,8,87.50%,30.95%,$4.40
/practice/H84608/,41,7,00:00:41,3,33.33%,9.76%,$2.86
/practice/F83010/,40,24,00:02:07,5,80.00%,30.00%,$5.21
/practice/L83020/price_per_unit/?date=2018-01-01,37,13,00:00:44,12,8.33%,2.70%,$7.69
/practice/P81704/,34,29,00:03:07,28,78.57%,82.35%,$0.00
/practice/P82008/,34,5,00:01:05,0,0.00%,2.94%,$10.00
/practice/Y00729/,34,27,00:00:37,26,76.92%,73.53%,$1.11
/practice/E84068/,33,25,00:03:26,23,69.57%,63.64%,$1.60
/practice/P81714/,32,15,00:03:12,4,25.00%,21.88%,$4.67
/practice/L83095/price_per_unit/?date=2018-01-01,31,3,00:00:17,0,0.00%,0.00%,$0.00
/practice/P83017/,31,7,00:01:34,5,40.00%,12.90%,$4.29
/practice/P84059/,31,20,00:01:05,13,84.62%,48.39%,$5.00
/practice/A86012/,30,23,00:04:21,12,33.33%,30.00%,$5.65
/practice/K82046/,30,14,00:01:53,12,50.00%,36.67%,$2.14
/practice/L83085/price_per_unit/?date=2018-01-01,30,2,00:00:25,0,0.00%,0.00%,$0.00
/practice/B83050/,29,25,00:00:32,23,82.61%,75.86%,$0.80
/practice/L81094/,29,13,00:01:41,4,100.00%,27.59%,$5.77
/practice/M85063/,29,15,00:01:26,5,80.00%,24.14%,$3.33
/practice/E84057/,28,13,00:01:47,5,60.00%,25.00%,$3.08
/practice/K83032/,28,10,00:02:24,2,0.00%,21.43%,$4.50
/practice/P81092/price_per_unit/,28,5,00:00:21,1,0.00%,3.57%,$6.00
/practice/C88047/,27,20,00:04:38,14,57.14%,55.56%,$1.00
/practice/C88050/,27,23,00:01:09,16,18.75%,25.93%,$0.87
/practice/G82099/price_per_unit/,26,7,00:00:25,3,0.00%,3.85%,$5.71
/practice/L83016/,26,18,00:04:21,12,33.33%,42.31%,$3.89
/practice/A83018/,25,16,00:04:47,6,20.00%,28.00%,$7.50
/practice/A84025/,25,14,00:01:42,3,66.67%,24.00%,$9.64
/practice/P81003/,25,13,00:02:09,2,50.00%,20.00%,$3.08
/practice/C81106/,24,13,00:03:21,3,66.67%,41.67%,$7.69
/practice/C88016/,24,16,00:01:29,0,0.00%,16.67%,$10.94
/practice/G83049/,24,15,00:03:00,10,40.00%,37.50%,$4.00
/practice/B83045/,23,14,00:00:12,12,91.67%,56.52%,$0.71
/practice/C82610/,23,13,00:01:31,6,33.33%,34.78%,$3.85
/practice/D82058/,23,17,00:01:01,3,100.00%,47.83%,$2.94
/practice/M81017/,23,6,00:01:54,1,0.00%,13.04%,$11.67
/measure/ktt9_antibiotics/practice/C83035/,22,7,00:01:12,4,50.00%,13.64%,$5.71
/practice/A88002/,22,12,00:03:05,6,83.33%,36.36%,$4.17
/practice/E85636/,22,13,00:03:10,10,60.00%,36.36%,$4.62
/practice/L83651/,22,20,00:00:52,9,88.89%,54.55%,$1.25
/practice/P91633/,22,15,00:02:29,7,71.43%,45.45%,$2.67
/practice/Y01011/,22,12,00:01:55,7,100.00%,45.45%,$4.17
/practice/A86040/,21,13,00:02:12,10,50.00%,42.86%,$4.62
/practice/B87002/,21,12,00:00:45,6,50.00%,28.57%,$8.75
/practice/E85124/,21,17,00:02:04,6,66.67%,33.33%,$4.12
/practice/E87681/,21,10,00:03:46,5,60.00%,28.57%,$7.00
/practice/F83056/,21,15,00:01:35,9,100.00%,57.14%,$2.00
/practice/J81625/,21,15,00:01:59,2,50.00%,42.86%,$4.00
/practice/L83096/price_per_unit/,21,5,00:03:30,1,100.00%,19.05%,$6.00
/practice/L84023/,21,18,00:06:05,9,100.00%,71.43%,$1.11
/practice/M87007/price_per_unit/,21,5,00:01:17,2,0.00%,4.76%,$6.00
/practice/C83064/,20,11,00:07:06,5,80.00%,35.00%,$1.82
/practice/E87063/,20,8,00:02:08,5,60.00%,35.00%,$5.00
/practice/F83652/,20,17,00:03:01,8,100.00%,65.00%,$3.53
/practice/L83083/price_per_unit/,20,3,00:02:55,0,0.00%,0.00%,$6.67
/practice/L83646/,20,14,00:01:38,5,40.00%,15.00%,$4.29
/practice/L84006/price_per_unit/,20,4,00:02:26,0,0.00%,5.00%,$5.00
/practice/L84068/,20,11,00:01:29,4,75.00%,20.00%,$3.64
/practice/P81087/,20,15,00:02:10,0,0.00%,45.00%,$3.33
/practice/P89021/,20,15,00:00:40,14,71.43%,60.00%,$4.00
/practice/Y02117/,20,11,00:05:59,7,85.71%,40.00%,$2.73
/practice/Y02692/,20,16,00:02:31,10,50.00%,40.00%,$3.12
/practice/Y04646/,20,18,00:03:08,17,82.35%,85.00%,$0.00
/practice/C88052/,19,4,00:01:30,0,0.00%,5.26%,$2.50
/practice/C88077/,19,16,00:01:58,5,80.00%,52.63%,$3.44
/practice/D81033/,19,14,00:04:10,7,57.14%,47.37%,$4.29
/practice/D83034/,19,10,00:01:30,0,0.00%,31.58%,$6.00
/practice/E84601/,19,13,00:01:39,10,80.00%,57.89%,$2.31
/practice/H81113/price_per_unit/,19,2,00:00:48,0,0.00%,0.00%,$5.00
/practice/L83112/,19,10,00:00:41,0,0.00%,26.32%,$5.00
/practice/Y05190/,19,15,00:02:59,13,53.85%,52.63%,$2.00
/practice/Y05236/,19,13,00:01:51,13,69.23%,68.42%,$0.77
/practice/B86024/,18,7,00:00:48,3,0.00%,22.22%,$7.14
/practice/C83035/,18,7,00:01:55,0,0.00%,11.11%,$4.29
/practice/C84002/,18,11,00:01:16,6,66.67%,27.78%,$5.00
/practice/C84101/,18,6,00:01:27,1,0.00%,16.67%,$8.33
/practice/E84009/,18,14,00:01:53,11,90.91%,66.67%,$0.71
/practice/E87714/,18,10,00:03:01,7,85.71%,44.44%,$2.00
/practice/H81051/,18,13,00:03:14,3,100.00%,33.33%,$3.85
/practice/H82011/,18,15,00:04:08,7,57.14%,50.00%,$2.67
/practice/J82097/,18,12,00:02:35,7,71.43%,44.44%,$4.17
/practice/L84054/,18,11,00:00:47,0,0.00%,38.89%,$6.82
/practice/P81092/,18,10,00:02:11,1,100.00%,11.11%,$6.00
/practice/P88009/,18,15,00:00:39,11,45.45%,33.33%,$5.33
/practice/Y03049/,18,17,00:00:11,17,94.12%,94.44%,$0.00
/practice/B83620/,17,14,00:00:36,0,0.00%,23.53%,$7.50
/practice/C88079/price_per_unit/,17,4,00:01:16,1,0.00%,5.88%,$5.00
/practice/D81012/,17,7,00:01:03,3,66.67%,35.29%,$4.29
/practice/D83029/,17,4,00:01:11,2,0.00%,5.88%,$7.50
/practice/H85076/,17,6,00:00:45,4,25.00%,17.65%,$5.83
/practice/L83056/,17,8,00:02:04,4,100.00%,47.06%,$2.50
/practice/L83101/,17,15,00:02:16,0,0.00%,0.00%,$8.33
/practice/L83111/,17,10,00:03:24,8,37.50%,35.29%,$4.00
/practice/L83137/,17,12,00:07:42,1,0.00%,58.82%,$3.33
/practice/L84047/,17,16,00:02:38,1,0.00%,47.06%,$6.25
/practice/Y01008/,17,15,00:03:01,7,71.43%,58.82%,$4.00
/measure/saba/practice/B82023/,16,15,00:02:04,10,90.00%,68.75%,$0.00
/practice/A82016/,16,15,00:04:54,6,83.33%,62.50%,$3.33
/practice/A84018/,16,14,00:07:19,5,80.00%,62.50%,$3.57
/practice/B83040/,16,9,00:02:47,4,50.00%,43.75%,$3.33
/practice/C88060/,16,3,00:01:23,0,0.00%,6.25%,$8.33
/practice/F84117/,16,7,00:02:18,3,100.00%,43.75%,$1.43
/practice/G82088/,16,4,00:01:08,2,100.00%,12.50%,$5.00
/practice/K84040/,16,12,00:00:29,0,0.00%,0.00%,$6.67
/practice/L81117/,16,7,00:00:30,6,33.33%,43.75%,$2.86
/practice/L81637/,16,11,00:02:56,6,0.00%,18.75%,$4.55
/practice/P81074/,16,6,00:01:25,3,0.00%,25.00%,$6.67
/practice/P91014/,16,8,00:02:38,1,100.00%,6.25%,$5.00
/practice/Y05095/,16,16,00:01:09,16,87.50%,87.50%,$0.00
/practice/B84007/,15,11,00:04:35,10,70.00%,66.67%,$0.91
/practice/C84720/,15,14,00:08:39,14,92.86%,93.33%,$0.00
/practice/C88049/,15,8,00:02:31,0,0.00%,13.33%,$10.00
/practice/E85029/,15,6,00:03:07,1,100.00%,20.00%,$5.00
/practice/F81030/,15,13,00:05:19,9,100.00%,73.33%,$1.54
/practice/F83039/,15,4,00:04:14,0,0.00%,20.00%,$5.00
/practice/H81089/,15,13,00:06:20,6,100.00%,60.00%,$3.85
/practice/H83013/,15,12,00:01:04,8,87.50%,80.00%,$1.67
/practice/J83016/,15,10,00:00:31,2,50.00%,26.67%,$6.00
/practice/K83625/,15,12,00:00:41,11,81.82%,60.00%,$1.67
/practice/L81081/,15,13,00:01:26,10,90.00%,80.00%,$0.77
/practice/L84037/price_per_unit/,15,5,00:01:02,0,0.00%,0.00%,$4.00
/practice/M81068/,15,8,00:00:25,5,40.00%,13.33%,$6.25
/practice/M83616/,15,11,00:03:47,1,0.00%,40.00%,$4.55
/practice/P83605/,15,4,00:01:38,0,0.00%,13.33%,$6.25
/practice/P84070/,15,8,00:01:17,1,0.00%,26.67%,$8.75
/practice/P87028/,15,6,00:03:24,3,33.33%,13.33%,$6.67
/practice/Y00445/,15,11,00:03:01,1,100.00%,33.33%,$6.36
/practice/Y02211/,15,15,00:00:47,15,93.33%,93.33%,$0.00
/practice/Y03801/,15,14,00:00:36,13,92.31%,93.33%,$0.00
/practice/Y04606/,15,14,00:00:39,14,92.86%,93.33%,$0.00
/practice/Y05331/,15,14,00:00:12,14,92.86%,93.33%,$0.00
/measure/doacs/practice/P81087/,14,14,00:02:20,12,16.67%,21.43%,$6.43
/practice/B83014/,14,8,00:03:10,5,20.00%,21.43%,$3.75
/practice/C83003/,14,11,00:01:35,0,0.00%,21.43%,$3.18
/practice/C84035/,14,7,00:02:26,1,100.00%,28.57%,$7.86
/practice/C86011/,14,12,00:03:01,5,80.00%,57.14%,$0.83
/practice/C87030/,14,12,00:00:54,10,70.00%,57.14%,$0.00
/practice/C88031/,14,13,00:03:07,5,100.00%,78.57%,$3.08
/practice/F84018/,14,6,00:01:33,3,33.33%,7.14%,$8.33
/practice/F84724/,14,11,00:01:16,5,100.00%,42.86%,$5.00
/practice/G81013/,14,8,00:01:24,3,100.00%,28.57%,$5.00
/practice/G82041/,14,5,00:01:01,1,0.00%,21.43%,$4.00
/practice/K84016/,14,12,00:03:49,1,100.00%,42.86%,$5.83
/practice/N84621/,14,11,00:03:33,4,75.00%,42.86%,$5.00
/practice/P81073/,14,9,00:04:31,2,100.00%,35.71%,$3.33
/measure/ktt9_antibiotics/practice/E85066/,13,4,00:01:32,3,33.33%,15.38%,$7.50
/measure/opioidper1000/practice/A84018/,13,10,00:00:40,9,44.44%,46.15%,$3.00
/practice/B82042/#opioidper1000,13,9,00:00:54,9,66.67%,69.23%,$1.11
/practice/B86044/,13,11,00:01:55,7,71.43%,53.85%,$0.91
/practice/C83617/,13,2,00:01:12,1,100.00%,7.69%,$0.00
/practice/C88622/,13,7,00:01:36,2,50.00%,15.38%,$4.29
/practice/F83019/,13,7,00:02:39,0,0.00%,15.38%,$8.57
/practice/G82076/,13,2,00:01:53,1,0.00%,7.69%,$10.00
/practice/G85109/,13,11,00:03:23,2,100.00%,76.92%,$4.55
/practice/H81071/,13,5,00:01:25,1,100.00%,30.77%,$2.00
/practice/J82064/,13,11,00:03:55,8,75.00%,69.23%,$0.91
/practice/J82094/,13,9,00:00:22,2,50.00%,7.69%,$1.67
/practice/K82029/,13,5,00:01:54,0,0.00%,23.08%,$8.00
/practice/K83027/,13,11,00:02:09,10,100.00%,84.62%,$0.91
/practice/L81082/,13,11,00:01:13,3,100.00%,46.15%,$2.73
/practice/L84006/,13,9,00:00:49,0,0.00%,23.08%,$6.67
/practice/M81087/,13,9,00:02:28,0,0.00%,46.15%,$7.22
/practice/P91629/,13,6,00:01:29,4,75.00%,46.15%,$5.00
/practice/Y03818/,13,12,00:02:22,11,81.82%,84.62%,$0.00
/practice/Y04995/,13,8,00:01:51,3,100.00%,30.77%,$8.75
/practice/Y05129/,13,8,00:00:58,8,75.00%,61.54%,$1.25
