Page,Medium,Date Range,Segment,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/practice/L81004/,post - ktt9_cephalosporins,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,15,11,00:01:36,11,63.64%,66.67%,$0.91
/practice/L81004/,post - ktt9_cephalosporins,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/L81004/,post - ktt9_cephalosporins,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/measure/ktt9_cephalosporins/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,14,14,00:02:39,2,100.00%,50.00%,$5.00
/measure/ktt9_cephalosporins/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,9,8,00:00:50,1,100.00%,44.44%,$3.75
/measure/ktt9_cephalosporins/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,3,2,00:03:47,0,0.00%,0.00%,$10.00
/practice/F85634/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,12,3,00:00:44,1,100.00%,16.67%,$0.00
/practice/F85634/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/F85634/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/measure/ktt9_cephalosporins/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,9,7,00:01:20,0,0.00%,33.33%,$5.71
/measure/ktt9_cephalosporins/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,1,1,00:00:00,0,0.00%,100.00%,$0.00
/measure/ktt9_cephalosporins/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,9,5,00:00:12,0,0.00%,11.11%,$2.00
/practice/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,1,1,00:00:08,0,0.00%,0.00%,$10.00
/practice/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,1,1,00:00:23,0,0.00%,0.00%,$0.00
/practice/L82058/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,9,7,00:03:12,6,50.00%,33.33%,$2.86
/practice/L82058/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/L82058/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/Y02506/#ktt9_cephalosporins,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,8,2,00:01:43,1,0.00%,12.50%,$5.00
/practice/Y02506/#ktt9_cephalosporins,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/Y02506/#ktt9_cephalosporins,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,8,2,00:01:43,1,0.00%,12.50%,$5.00
/analyse/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,7,5,00:00:19,0,0.00%,28.57%,$4.00
/analyse/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/analyse/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/ccg/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,7,4,00:00:16,0,0.00%,0.00%,$5.00
/ccg/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/ccg/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/ccg/04D/ktt9_cephalosporins/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,7,1,00:02:41,0,0.00%,0.00%,$0.00
/ccg/04D/ktt9_cephalosporins/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/ccg/04D/ktt9_cephalosporins/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/G85024/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,7,3,00:05:18,3,33.33%,28.57%,$6.67
/practice/G85024/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/G85024/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/H82027/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,7,6,00:00:27,6,83.33%,85.71%,$0.00
/practice/H82027/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/H82027/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,8,7,00:06:41,7,71.43%,75.00%,$0.00
/confirm-email/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,6,6,00:00:33,0,0.00%,0.00%,$6.67
/confirm-email/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,2,2,00:00:18,0,0.00%,0.00%,$0.00
/confirm-email/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,3,3,00:00:04,0,0.00%,0.00%,$6.67
/practice/L84041/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,6,3,00:04:54,2,50.00%,16.67%,$6.67
/practice/L84041/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/L84041/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/N81082/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,6,2,00:00:42,1,0.00%,16.67%,$10.00
/practice/N81082/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/N81082/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/P81082/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,6,6,00:00:00,6,100.00%,100.00%,$0.00
/practice/P81082/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,12,9,00:01:21,9,88.89%,75.00%,$1.11
/practice/P81082/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,5,2,00:00:27,0,0.00%,40.00%,$5.00
/,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/ccg/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,5,5,00:00:20,3,0.00%,0.00%,$14.00
/ccg/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,2,2,00:00:08,0,0.00%,0.00%,$5.00
/ccg/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/measure/ktt9_cephalosporins/practice/Y01132/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,5,3,00:03:15,1,100.00%,20.00%,$3.33
/measure/ktt9_cephalosporins/practice/Y01132/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/measure/ktt9_cephalosporins/practice/Y01132/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/E87008/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,5,5,00:05:29,5,80.00%,80.00%,$0.00
/practice/E87008/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/E87008/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/F83057/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,5,2,00:03:35,1,100.00%,20.00%,$0.00
/practice/F83057/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/F83057/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/M81600/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,5,2,00:05:26,1,0.00%,20.00%,$10.00
/practice/M81600/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/M81600/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,2,00:00:36,1,0.00%,25.00%,$5.00
/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,2,1,00:00:10,1,0.00%,50.00%,$0.00
/ccg/00P/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,3,00:01:51,0,0.00%,25.00%,$11.67
/ccg/00P/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/ccg/00P/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/ccg/04D/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,3,00:02:11,0,0.00%,0.00%,$3.33
/ccg/04D/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/ccg/04D/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/faq/#measureinterpret,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,3,00:03:07,0,0.00%,0.00%,$10.00
/faq/#measureinterpret,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,3,3,00:00:22,0,0.00%,0.00%,$10.00
/faq/#measureinterpret,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,1,1,00:00:19,0,0.00%,0.00%,$0.00
/measure/ktt9_cephalosporins/,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,3,00:00:47,0,0.00%,0.00%,$10.00
/measure/ktt9_cephalosporins/,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,4,3,00:00:34,0,0.00%,25.00%,$6.67
/measure/ktt9_cephalosporins/,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,1,1,00:00:27,0,0.00%,0.00%,$10.00
/measure/ktt9_cephalosporins/practice/C83038/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,2,00:01:09,0,0.00%,0.00%,$5.00
/measure/ktt9_cephalosporins/practice/C83038/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/measure/ktt9_cephalosporins/practice/C83038/,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/measure/ktt9_cephalosporins/practice/L82058/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,2,00:01:06,0,0.00%,25.00%,$5.00
/measure/ktt9_cephalosporins/practice/L82058/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/measure/ktt9_cephalosporins/practice/L82058/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,3,00:00:55,1,0.00%,0.00%,$6.67
/practice/,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,6,2,00:03:13,0,0.00%,16.67%,$10.00
/practice/,fax,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,1,1,00:00:00,0,0.00%,100.00%,$0.00
/practice/E85042/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,3,00:01:50,3,66.67%,75.00%,$0.00
/practice/E85042/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/E85042/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/H82027/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,4,00:21:03,4,75.00%,75.00%,$0.00
/practice/H82027/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/H82027/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,2,2,00:00:00,2,100.00%,100.00%,$0.00
/practice/H85020/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,3,00:00:23,3,0.00%,0.00%,$3.33
/practice/H85020/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,1,1,00:00:00,1,100.00%,100.00%,$0.00
/practice/H85020/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/K84033/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,3,00:00:20,3,66.67%,50.00%,$3.33
/practice/K84033/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/K84033/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/K84063/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,2,00:00:18,2,50.00%,50.00%,$5.00
/practice/K84063/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,1,1,00:00:26,1,0.00%,0.00%,$10.00
/practice/K84063/#ktt9_cephalosporins,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/L82043/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,2,00:03:24,2,0.00%,0.00%,$5.00
/practice/L82043/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/L82043/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,2,1,00:04:34,1,0.00%,0.00%,$10.00
/practice/Y01132/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,4,2,00:00:47,2,0.00%,0.00%,$10.00
/practice/Y01132/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/practice/Y01132/#ktt9_cephalosporins,post,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/ccg/00P/ktt9_cephalosporins/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,3,00:01:07,2,50.00%,66.67%,$3.33
/ccg/00P/ktt9_cephalosporins/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/ccg/00P/ktt9_cephalosporins/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/measure/ace/practice/L84015/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,3,00:00:00,1,100.00%,100.00%,$3.33
/measure/ace/practice/L84015/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/measure/ace/practice/L84015/,email,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
/measure/ktt9_cephalosporins/practice/L81004/,post - ktt9_cephalosporins,"May 7, 2018 - Aug 7, 2018",rct1 - wave 1,3,2,00:00:30,0,0.00%,0.00%,$5.00
/measure/ktt9_cephalosporins/practice/L81004/,post - ktt9_cephalosporins,"May 7, 2018 - Aug 7, 2018",rct1 - wave2,0,0,00:00:00,0,0.00%,0.00%,$0.00
/measure/ktt9_cephalosporins/practice/L81004/,post - ktt9_cephalosporins,"May 7, 2018 - Aug 7, 2018",rct1 - wave3,0,0,00:00:00,0,0.00%,0.00%,$0.00
