Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/practice/,6097,4553,00:00:28,452,20.32%,7.15%,$7.74
/practice/P81010/,107,90,00:01:22,89,82.02%,78.50%,$0.33
/practice/C83022/,106,68,00:03:58,43,67.44%,47.17%,$3.68
/practice/Y00164/,73,56,00:03:09,29,55.17%,54.79%,$3.04
/measure/doacs/practice/P88026/,70,57,00:02:38,55,65.45%,55.71%,$3.07
/practice/P81704/,59,47,00:03:04,45,84.44%,74.58%,$0.85
/practice/G84607/,56,30,00:03:15,14,78.57%,33.93%,$4.00
/practice/D83012/,53,39,00:03:45,30,53.33%,43.40%,$3.59
/practice/Y05190/,48,40,00:00:56,39,71.79%,68.75%,$1.00
/practice/L83121/,43,36,00:01:27,35,77.14%,74.42%,$1.25
/practice/L83111/,40,30,00:06:54,27,51.85%,50.00%,$2.67
/practice/A88002/,39,18,00:01:01,2,0.00%,10.26%,$7.22
/practice/M83056/,36,24,00:02:00,6,33.33%,36.11%,$5.83
/practice/J83038/,35,28,00:03:04,22,36.36%,37.14%,$6.25
/practice/F84122/,34,33,00:06:31,33,90.91%,91.18%,$0.00
/practice/L83026/,33,21,00:01:15,12,16.67%,9.09%,$6.19
/practice/G85705/,32,13,00:00:56,7,14.29%,12.50%,$4.62
/practice/Y03049/,31,30,00:00:31,28,85.71%,87.10%,$0.00
/practice/C88643/,30,21,00:02:00,19,36.84%,33.33%,$3.33
/practice/L84054/price_per_unit/,29,11,00:00:31,4,25.00%,34.48%,$6.36
/practice/P89021/,29,26,00:00:15,25,80.00%,72.41%,$2.31
/practice/Y04932/,28,24,00:02:27,24,87.50%,85.71%,$0.00
/practice/L83029/,27,17,00:02:40,6,50.00%,29.63%,$4.71
/practice/D81012/,25,8,00:00:54,0,0.00%,4.00%,$7.50
/practice/A89026/,24,21,00:01:54,18,83.33%,70.83%,$0.95
/practice/M84049/,24,14,00:01:34,0,0.00%,29.17%,$7.14
/practice/M91032/,24,15,00:03:44,14,50.00%,54.17%,$2.00
/practice/D81086/,23,12,00:01:15,3,33.33%,21.74%,$8.33
/practice/L84072/price_per_unit/,23,10,00:01:46,1,0.00%,8.70%,$7.00
/practice/D82084/,22,5,00:02:54,4,50.00%,13.64%,$6.00
/practice/L81131/,22,10,00:01:00,0,0.00%,4.55%,$12.00
/practice/Y01929/,22,18,00:02:12,17,82.35%,72.73%,$1.67
/practice/Y02322/,22,18,00:04:53,18,77.78%,81.82%,$1.11
/practice/A82046/,21,3,00:01:27,2,0.00%,0.00%,$3.33
/practice/E81017/,21,15,00:02:00,15,80.00%,71.43%,$1.33
/practice/H85076/,21,7,00:00:36,1,0.00%,14.29%,$2.86
/practice/L81027/,21,8,00:01:09,2,50.00%,19.05%,$3.75
/practice/M81094/,21,12,00:00:37,1,100.00%,9.52%,$5.83
/practice/B85006/,20,14,00:05:14,8,75.00%,60.00%,$2.14
/practice/D83056/,20,9,00:02:23,3,33.33%,15.00%,$7.78
/practice/L81040/,20,7,00:01:06,3,33.33%,20.00%,$2.86
/practice/L84047/,20,16,00:01:17,2,50.00%,40.00%,$5.31
/practice/P81780/,20,17,00:12:57,14,85.71%,75.00%,$0.59
/practice/Y01699/,20,18,00:01:59,18,77.78%,80.00%,$0.00
/practice/Y04606/,20,19,00:01:16,18,94.44%,90.00%,$0.53
/practice/C82038/,19,15,00:01:37,2,50.00%,21.05%,$9.33
/practice/E84620/,19,10,00:03:16,9,66.67%,42.11%,$5.00
/practice/H81058/,19,7,00:02:11,0,0.00%,15.79%,$5.71
/practice/L84043/price_per_unit/,19,13,00:02:45,2,50.00%,47.37%,$4.62
/practice/L84068/,19,11,00:00:32,4,0.00%,31.58%,$4.55
/practice/L84072/,19,11,00:00:52,1,100.00%,5.26%,$5.45
/practice/P92003/,19,15,00:01:38,4,75.00%,63.16%,$2.67
/practice/Y04995/,19,14,00:00:31,8,87.50%,52.63%,$0.71
/practice/B82050/,18,14,00:02:13,7,71.43%,38.89%,$3.57
/practice/B83045/,18,17,00:02:31,17,88.24%,88.89%,$0.00
/practice/C82016/,18,7,00:00:28,1,100.00%,11.11%,$4.29
/practice/C88077/,18,12,00:03:33,8,50.00%,61.11%,$2.50
/practice/J82097/,18,14,00:01:36,8,25.00%,16.67%,$5.71
/practice/L81004/,18,14,00:01:24,11,63.64%,61.11%,$0.71
/practice/L83643/,18,17,00:01:49,13,84.62%,72.22%,$1.76
/practice/L84037/price_per_unit/,18,7,00:02:27,2,0.00%,5.56%,$10.00
/practice/L84043/,18,14,00:00:45,0,0.00%,11.11%,$6.43
/practice/M81019/price_per_unit/,18,4,00:00:11,0,0.00%,0.00%,$5.00
/practice/Y05180/,18,16,00:07:36,16,87.50%,88.89%,$0.00
/practice/Y05236/,18,16,00:00:37,16,87.50%,88.89%,$0.00
/practice/A86023/,17,14,00:01:50,2,100.00%,47.06%,$4.29
/practice/B83050/,17,14,00:00:41,14,85.71%,82.35%,$0.00
/practice/F81097/,17,8,00:01:33,3,66.67%,29.41%,$5.00
/practice/G84607/?tags=lowpriority,17,5,00:00:51,1,0.00%,0.00%,$2.00
/practice/L83042/,17,7,00:00:40,0,0.00%,23.53%,$7.14
/practice/L85035/,17,6,00:01:21,3,0.00%,11.76%,$7.50
/practice/M81017/,17,12,00:01:57,6,83.33%,35.29%,$4.17
/practice/P81092/price_per_unit/,17,5,00:01:16,0,0.00%,5.88%,$4.00
/practice/P88632/,17,12,00:05:06,3,33.33%,35.29%,$5.83
/practice/Y03818/,17,16,00:00:28,16,87.50%,88.24%,$0.62
/measure/opioidper1000/practice/Y00164/,16,15,00:01:24,0,0.00%,56.25%,$4.67
/measure/ppidose/practice/P91629/,16,15,00:24:25,14,92.86%,93.75%,$0.00
/practice/B82023/,16,13,00:00:58,0,0.00%,12.50%,$9.23
/practice/B83620/,16,14,00:00:25,2,100.00%,31.25%,$5.36
/practice/B84004/,16,8,00:03:11,3,66.67%,18.75%,$5.00
/practice/B85048/,16,15,00:06:56,14,85.71%,81.25%,$0.67
/practice/D82007/measures/,16,9,00:01:08,4,25.00%,12.50%,$5.56
/practice/E85029/,16,11,00:01:25,1,0.00%,25.00%,$9.09
/practice/F84086/,16,8,00:03:26,5,60.00%,43.75%,$2.50
/practice/L81038/,16,9,00:02:38,0,0.00%,12.50%,$9.44
/practice/P81074/,16,12,00:00:27,3,33.33%,12.50%,$4.17
/practice/Y00729/,16,15,00:05:50,15,93.33%,93.75%,$0.00
/practice/Y03801/,16,15,00:00:47,15,86.67%,87.50%,$0.00
/practice/A83018/,15,9,00:05:02,3,0.00%,33.33%,$7.78
/practice/A89032/,15,15,00:01:05,11,90.91%,73.33%,$0.67
/practice/B81031/,15,5,00:00:51,0,0.00%,20.00%,$4.00
/practice/C83007/,15,8,00:03:13,2,100.00%,26.67%,$3.75
/practice/C88051/,15,8,00:02:03,5,0.00%,33.33%,$2.50
/practice/D81043/,15,11,00:00:30,1,100.00%,26.67%,$7.27
/practice/E82084/,15,4,00:00:25,0,0.00%,13.33%,$0.00
/practice/E85004/,15,6,00:00:46,0,0.00%,6.67%,$5.00
/practice/E85021/,15,12,00:00:51,10,10.00%,6.67%,$14.17
/practice/E85124/,15,11,00:01:23,1,0.00%,20.00%,$6.82
/practice/G82099/,15,14,00:05:37,7,14.29%,13.33%,$9.29
/practice/G83630/,15,3,00:00:30,2,100.00%,20.00%,$3.33
/practice/J83043/,15,10,00:02:01,4,100.00%,46.67%,$3.00
/practice/L81015/,15,10,00:00:51,0,0.00%,13.33%,$8.00
/practice/L83074/,15,10,00:01:41,7,71.43%,40.00%,$2.00
/practice/L84010/,15,15,00:00:26,15,80.00%,80.00%,$0.00
/practice/M81010/,15,8,00:04:51,1,0.00%,6.67%,$7.50
/practice/M81629/,15,9,00:04:41,1,100.00%,33.33%,$7.22
/practice/M89019/,15,12,00:00:25,12,83.33%,80.00%,$1.67
/practice/P86006/,15,11,00:01:02,8,87.50%,53.33%,$3.64
/practice/P87024/,15,10,00:00:18,4,25.00%,20.00%,$6.00
/practice/Y04438/,15,14,00:02:45,13,84.62%,80.00%,$1.43
/practice/Y05206/,15,13,00:00:52,13,84.62%,73.33%,$1.54
/practice/A82646/,14,11,00:04:54,8,87.50%,71.43%,$0.91
/practice/B86044/,14,13,00:00:14,10,90.00%,78.57%,$0.77
/practice/C81008/,14,10,00:05:36,7,85.71%,57.14%,$1.00
/practice/C88018/,14,9,00:01:46,0,0.00%,21.43%,$6.67
/practice/D82058/,14,14,00:01:03,1,100.00%,42.86%,$4.29
/practice/E82058/,14,10,00:02:05,8,12.50%,7.14%,$11.00
/practice/E84021/price_per_unit/,14,5,00:00:32,3,66.67%,21.43%,$2.00
/practice/F81741/,14,10,00:02:43,9,66.67%,71.43%,$0.00
/practice/F85634/,14,4,00:00:47,1,100.00%,14.29%,$0.00
/practice/G82026/,14,8,00:00:24,8,62.50%,57.14%,$1.25
/practice/G84021/,14,10,00:00:23,10,70.00%,71.43%,$1.00
/practice/H81029/,14,10,00:00:18,6,83.33%,42.86%,$0.00
/practice/J81012/,14,11,00:04:33,5,100.00%,57.14%,$1.82
/practice/K84013/,14,9,00:00:29,0,0.00%,35.71%,$8.89
/practice/L83026/measures/,14,11,00:01:30,1,0.00%,21.43%,$6.36
/practice/L83050/,14,10,00:01:30,1,100.00%,28.57%,$2.00
/practice/L83146/,14,2,00:00:23,2,50.00%,14.29%,$5.00
/practice/L84037/,14,8,00:00:38,1,0.00%,14.29%,$8.75
/practice/L85002/,14,12,00:01:04,7,85.71%,64.29%,$0.83
/practice/M81094/price_per_unit/,14,3,00:00:19,0,0.00%,0.00%,$0.00
/practice/M85064/,14,10,00:02:11,3,100.00%,57.14%,$2.00
/practice/P82609/,14,8,00:00:41,4,75.00%,28.57%,$5.00
/practice/Y02314/?tags=lowpriority,14,13,00:23:06,13,92.31%,92.86%,$0.00
/measure/doacs/practice/C82080/,13,9,00:01:59,3,0.00%,15.38%,$3.33
/measure/doacs/practice/C82631/,13,12,00:03:39,5,60.00%,38.46%,$1.67
/practice/A84025/,13,5,00:01:30,1,0.00%,15.38%,$9.00
/practice/D81012/?tags=lowpriority,13,9,00:02:19,1,100.00%,30.77%,$2.22
/practice/D83044/,13,11,00:04:37,7,57.14%,46.15%,$2.73
/practice/E84009/,13,2,00:00:48,0,0.00%,7.69%,$10.00
/practice/E85054/,13,8,00:00:41,4,50.00%,30.77%,$8.12
/practice/F84096/,13,7,00:02:01,2,0.00%,30.77%,$8.57
/practice/J82056/,13,8,00:00:29,2,100.00%,38.46%,$6.25
/practice/K82053/,13,12,00:01:12,8,87.50%,84.62%,$0.83
/practice/L81025/,13,11,00:01:21,1,100.00%,30.77%,$4.55
/practice/L81053/,13,3,00:01:05,0,0.00%,0.00%,$6.67
/practice/L83106/,13,9,00:00:49,0,0.00%,15.38%,$1.11
/practice/L83647/,13,11,00:04:48,5,100.00%,61.54%,$3.18
/practice/P81051/,13,10,00:02:40,2,50.00%,15.38%,$5.00
/practice/P81066/,13,7,00:00:38,0,0.00%,15.38%,$5.71
/practice/P81115/,13,7,00:00:20,0,0.00%,7.69%,$4.29
/practice/P82011/,13,8,00:03:46,1,0.00%,15.38%,$8.75
/practice/P83605/,13,8,00:00:55,1,0.00%,23.08%,$8.75
/practice/Y00732/,13,12,00:03:43,12,91.67%,92.31%,$0.00
/practice/Y02134/,13,13,00:02:09,13,76.92%,76.92%,$0.00
/practice/Y03206/,13,11,00:04:35,11,54.55%,61.54%,$0.00
/practice/Y05027/,13,10,00:05:26,8,75.00%,53.85%,$2.00
/practice/Y05136/,13,12,00:03:20,12,91.67%,92.31%,$0.00
/practice/B84009/,12,4,00:00:50,2,0.00%,25.00%,$5.00
/practice/C82009/,12,10,00:01:01,0,0.00%,8.33%,$5.00
/practice/C82031/,12,6,00:00:38,0,0.00%,0.00%,$5.00
/practice/C83063/,12,9,00:00:44,2,0.00%,16.67%,$4.44
/practice/C88015/,12,7,00:00:36,1,0.00%,8.33%,$5.71
/practice/E86029/price_per_unit/,12,5,00:00:52,0,0.00%,0.00%,$6.00
/practice/F81090/,12,9,00:00:37,6,83.33%,50.00%,$2.22
/practice/F81739/0601060D0AAA0A0/price_per_unit/?date=2018-04-01,12,7,00:00:12,4,0.00%,16.67%,$7.86
/practice/F86044/,12,10,00:00:59,7,71.43%,50.00%,$2.00
/practice/F86702/,12,8,00:06:57,6,66.67%,50.00%,$1.25
/practice/G82060/,12,9,00:01:59,3,66.67%,41.67%,$3.33
/practice/G85127/,12,5,00:01:57,0,0.00%,16.67%,$4.00
/practice/H81033/,12,11,00:01:37,9,77.78%,66.67%,$0.91
/practice/H81089/,12,12,00:01:19,10,100.00%,83.33%,$0.83
/practice/K83625/,12,10,00:01:50,10,70.00%,66.67%,$2.00
/practice/L81033/,12,7,00:00:41,0,0.00%,8.33%,$8.57
/practice/L83100/,12,11,00:06:01,0,0.00%,33.33%,$6.36
/practice/L83101/price_per_unit/,12,3,00:00:17,0,0.00%,0.00%,$0.00
/practice/L83105/,12,8,00:00:36,0,0.00%,0.00%,$3.75
/practice/L84054/,12,9,00:01:03,0,0.00%,0.00%,$9.44
/practice/L85031/,12,11,00:09:50,9,88.89%,91.67%,$0.00
/practice/N83018/,12,5,00:00:53,0,0.00%,25.00%,$6.00
/practice/P81082/#ktt9_cephalosporins,12,9,00:01:21,9,88.89%,75.00%,$1.11
/practice/P81683/,12,9,00:02:04,3,100.00%,25.00%,$4.44
/practice/Y00151/,12,11,00:02:59,5,100.00%,50.00%,$5.45
/practice/Y03491/,12,10,00:05:08,10,70.00%,66.67%,$1.00
/practice/Y05118/,12,10,00:05:38,9,66.67%,66.67%,$1.00
/practice/A89018/,11,7,00:01:10,2,100.00%,18.18%,$4.29
/practice/B81603/,11,9,00:03:29,7,85.71%,63.64%,$2.22
/practice/B81663/,11,11,00:01:48,9,100.00%,81.82%,$2.73
/practice/C82077/,11,6,00:00:55,0,0.00%,36.36%,$3.33
/practice/C82678/,11,10,00:00:31,10,90.00%,90.91%,$0.00
/practice/C83022/measures/,11,4,00:01:06,1,0.00%,18.18%,$2.50
/practice/C83613/,11,5,00:04:08,1,0.00%,0.00%,$4.00
/practice/C83631/,11,7,00:02:25,1,0.00%,36.36%,$2.86
/practice/C84024/,11,9,00:00:24,1,100.00%,27.27%,$1.11
/practice/C84051/,11,6,00:01:03,1,100.00%,27.27%,$3.33
/practice/C85004/,11,4,00:01:15,0,0.00%,9.09%,$7.50
/practice/D82036/,11,5,00:00:45,0,0.00%,0.00%,$12.00
/practice/D82105/,11,7,00:01:33,0,0.00%,18.18%,$10.00
/practice/E85129/,11,5,00:00:34,2,100.00%,18.18%,$6.00
/practice/E86001/,11,9,00:02:01,8,75.00%,72.73%,$0.00
/practice/E86029/,11,10,00:00:27,0,0.00%,27.27%,$4.00
/practice/E87069/,11,7,00:00:55,3,100.00%,36.36%,$2.86
/practice/F85011/,11,8,00:00:49,8,62.50%,63.64%,$1.25
/practice/F85033/,11,9,00:01:26,3,100.00%,45.45%,$2.78
/practice/G81074/,11,10,00:02:50,4,25.00%,45.45%,$6.00
/practice/G82099/price_per_unit/,11,8,00:00:19,1,0.00%,27.27%,$10.00
/practice/G82215/,11,7,00:00:17,6,33.33%,18.18%,$7.14
/practice/G85109/,11,10,00:00:10,5,100.00%,81.82%,$1.00
/practice/H81060/,11,10,00:01:07,8,75.00%,81.82%,$0.00
/practice/H81069/,11,10,00:00:32,7,100.00%,81.82%,$1.00
/practice/J82073/,11,9,00:00:29,9,77.78%,81.82%,$0.00
/practice/J82163/,11,7,00:00:23,1,0.00%,27.27%,$2.86
/practice/J83037/,11,11,00:00:00,10,100.00%,100.00%,$0.91
/practice/K82028/,11,10,00:00:37,6,100.00%,63.64%,$0.50
/practice/L81022/price_per_unit/,11,5,00:00:22,0,0.00%,0.00%,$15.00
/practice/L83042/price_per_unit/?date=2018-02-01,11,1,00:00:12,0,0.00%,9.09%,$0.00
/practice/L84017/,11,8,00:03:15,0,0.00%,18.18%,$8.75
/practice/M81006/,11,6,00:02:18,1,100.00%,18.18%,$3.33
/practice/M81035/,11,8,00:02:05,2,50.00%,18.18%,$8.75
/practice/M81068/,11,10,00:02:34,3,33.33%,27.27%,$3.00
/practice/M81091/,11,6,00:00:23,3,100.00%,45.45%,$5.00
/practice/M87041/,11,5,00:02:35,0,0.00%,18.18%,$8.00
/practice/N84012/measures/#statins,11,9,00:07:49,9,77.78%,81.82%,$0.00
/practice/P81074/measures/,11,3,00:00:47,0,0.00%,27.27%,$0.00
/practice/P84062/,11,11,00:00:00,11,100.00%,100.00%,$0.00
/practice/P84067/,11,9,00:01:46,3,66.67%,45.45%,$4.44
/practice/P87634/measures/,11,4,00:02:18,0,0.00%,9.09%,$7.50
/practice/P88016/,11,7,00:01:08,1,100.00%,18.18%,$1.43
/practice/P88042/price_per_unit/,11,6,00:01:37,5,0.00%,18.18%,$6.67
/practice/P91013/,11,4,00:03:16,0,0.00%,18.18%,$7.50
/practice/Y00418/,11,11,00:00:00,11,100.00%,100.00%,$0.00
/practice/Y02506/#ktt9_cephalosporins,11,4,00:01:25,3,0.00%,18.18%,$5.00
/practice/Y02674/,11,3,00:03:23,0,0.00%,18.18%,$6.67
/practice/Y03838/,11,11,00:00:07,10,90.00%,90.91%,$0.91
/practice/Y03910/,11,11,00:02:14,9,100.00%,90.91%,$0.91
/practice/Y05129/,11,11,00:00:00,11,100.00%,100.00%,$0.00
/measure/doacs/practice/C82031/,10,6,00:00:29,1,0.00%,10.00%,$3.33
/measure/doacs/practice/C82038/,10,10,00:02:12,2,50.00%,40.00%,$1.00
/measure/icsdose/practice/P81683/,10,8,00:01:09,3,0.00%,40.00%,$7.50
/practice/A89001/,10,7,00:00:37,5,80.00%,50.00%,$1.43
/practice/B86625/,10,9,00:01:00,1,100.00%,40.00%,$4.44
/practice/C82071/,10,5,00:00:13,2,100.00%,30.00%,$2.00
/practice/C83078/,10,7,00:00:33,6,66.67%,60.00%,$1.43
/practice/C84720/,10,9,00:00:15,8,75.00%,80.00%,$0.00
/practice/C88643/measures/,10,6,00:00:47,0,0.00%,20.00%,$5.00
/practice/D81038/,10,9,00:01:15,6,100.00%,90.00%,$1.11
/practice/D81086/measures/,10,5,00:00:53,0,0.00%,20.00%,$10.00
/practice/D81633/,10,6,00:00:50,0,0.00%,10.00%,$5.00
/practice/D82072/,10,8,00:02:20,2,50.00%,20.00%,$1.25
/practice/D82096/,10,5,00:06:15,4,75.00%,40.00%,$4.00
/practice/D83029/,10,6,00:00:27,5,60.00%,60.00%,$1.67
/practice/D83030/,10,7,00:01:38,0,0.00%,30.00%,$7.14
/practice/E85687/,10,10,00:00:45,7,100.00%,90.00%,$3.00
